1    942833  0.6162809927079057  1647983  0.6518751883851134
136  aagt  0  3.268238733073792e-07  1  5.933389397270483e-07
137  aagtvrzrm  1  9.804716199221375e-07  0  1.9777964657568277e-07
138  aahci  0  3.268238733073792e-07  1  5.933389397270483e-07
139  aahigczcav  0  3.268238733073792e-07  1  5.933389397270483e-07
140  aahp  0  3.268238733073792e-07  1  5.933389397270483e-07
141  aahv  0  3.268238733073792e-07  1  5.933389397270483e-07
142  aaiaw  0  3.268238733073792e-07  1  5.933389397270483e-07
143  aaicaqmfaqeaaaaaaaaaaqaritfbuwghehgbkbhb  0  3.268238733073792e-07  1  5.933389397270483e-07
144  aaicwbwbcbuiwqytmahtmaavwaoasnrjx  0  3.268238733073792e-07  1  5.933389397270483e-07
145  aaid  0  3.268238733073792e-07  1  5.933389397270483e-07
146  aaidaaaaaaaaaaaaaaabahesaxatich  0  3.268238733073792e-07  1  5.933389397270483e-07
147  aaiqkioax  1  9.804716199221375e-07  0  1.9777964657568277e-07
148  aairaqmraf  0  3.268238733073792e-07  1  5.933389397270483e-07
149  aairaxeapwdf  0  3.268238733073792e-07  1  5.933389397270483e-07
150  aais  0  3.268238733073792e-07  1  5.933389397270483e-07
151  aaiwiayrmiln  0  3.268238733073792e-07  1  5.933389397270483e-07
152  aaj  0  3.268238733073792e-07  2  9.888982328784137e-07
153  aajfk  1  9.804716199221375e-07  0  1.9777964657568277e-07
154  aajjr  0  3.268238733073792e-07  1  5.933389397270483e-07
155  aajmht  1  9.804716199221375e-07  0  1.9777964657568277e-07
156  aak  0  3.268238733073792e-07  3  1.3844575260297793e-06
157  aaka  1  9.804716199221375e-07  0  1.9777964657568277e-07
158  aakbwhohedixwsmabatdaae  0  3.268238733073792e-07  1  5.933389397270483e-07
159  aaklk  0  3.268238733073792e-07  1  5.933389397270483e-07
160  aakz  1  9.804716199221375e-07  0  1.9777964657568277e-07
161  aal  0  3.268238733073792e-07  1  5.933389397270483e-07
162  aalgigoahlghhimtazjtiwvhhpeykjtacytyi  0  3.268238733073792e-07  1  5.933389397270483e-07
163  aaliyah  0  3.268238733073792e-07  3  1.3844575260297793e-06
164  aam  1  9.804716199221375e-07  0  1.9777964657568277e-07
165  aamaaabiaegaaaaaaw  0  3.268238733073792e-07  1  5.933389397270483e-07
166  aamba  0  3.268238733073792e-07  1  5.933389397270483e-07
167  aammbnnoojjihhwwrcekddggyypz  0  3.268238733073792e-07  1  5.933389397270483e-07
168  aamwify  0  3.268238733073792e-07  1  5.933389397270483e-07
169  aamy  0  3.268238733073792e-07  2  9.888982328784137e-07
170  aan  0  3.268238733073792e-07  14  5.7356097506948e-06
171  aandatruckservices  0  3.268238733073792e-07  1  5.933389397270483e-07
172  aanl  0  3.268238733073792e-07  1  5.933389397270483e-07
173  aanzpeyamamhwugq  0  3.268238733073792e-07  1  5.933389397270483e-07
